"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-0.0187,0.034899998,0,1,51734,-0.00769,0.00991,0.0118,4903185,0.0137,1
"2",-0.0234,0.035599999,0,1,51734,-0.00762,0.00962,0.0114,4903185,0.0137,1
"3",-0.0434,0.0228,0,1,51734,-0.00751,0.00925,0.0109,4903185,0.0137,1
"4",-0.0437,-0.016000001,0,1,51734,-0.00738,0.00881,0.0103,4903185,0.0153,1
"5",-0.0259,-0.033599999,0,1,51734,-0.00724,0.00831,0.00963,4903185,0.0153,1
"6",-0.0328,-0.0568,0,1,51734,-0.00712,0.00775,0.00888,4903185,0.0153,1
"7",-0.0212,-0.037500001,0,1,51734,-0.00713,0.00712,0.0081,4903185,0.0153,1
"8",-0.0082,-0.017200001,0,1,51734,-0.0073,0.00642,0.00727,4903185,0.0124,1
"9",-0.0226,-0.030999999,0.143,2,51734,-0.0077,0.00562,0.00639,4903185,0.0107,1
"10",-0.00388,-0.022,0.286,3,51734,-0.00841,0.00469,0.00544,4903185,0.0107,1
"11",-0.00265,-0.0228,0.714,6,51734,-0.00951,0.0036,0.0044,4903185,0.00913,1
"12",-0.00506,-0.0372,1,8,51734,-0.0111,0.00233,0.00324,4903185,0.00769,1
"13",0.00974,-0.0561,2.57,19,51734,-0.0133,0.000746,0.00182,4903185,0.00493,1
"14",-0.00736,-0.091200002,3.71,27,51734,-0.0163,-0.00117,0.000137,4903185,-0.0076,1
"15",-0.0204,-0.114,4.57,33,51734,-0.02,-0.00344,-0.00183,4903185,-0.0192,1
"16",-0.0178,-0.13699999,6.43,47,51734,-0.0243,-0.00607,-0.00407,4903185,-0.0277,1
"17",-0.039,-0.182,9.86,72,51734,-0.0295,-0.00907,-0.00659,4903185,-0.0402,1
"18",-0.0667,-0.20900001,14.3,106,51734,-0.0354,-0.0124,-0.00936,4903185,-0.0626,1
"19",-0.0959,-0.235,21,155,51734,-0.0422,-0.0162,-0.0124,4903185,-0.0842,1
"20",-0.126,-0.28,28.1,216,51734,-0.0498,-0.0202,-0.0155,4903185,-0.106,1
"21",-0.157,-0.31900001,36.3,281,51734,-0.0584,-0.0246,-0.0188,4903185,-0.129,1
"22",-0.184,-0.34299999,49.9,382,51734,-0.0679,-0.0292,-0.0221,4903185,-0.152,1
"23",-0.205,-0.359,53,418,51734,-0.0782,-0.0342,-0.0254,4903185,-0.169,1
"24",-0.228,-0.38600001,58.4,481,51734,-0.0893,-0.0395,-0.0289,4903185,-0.183,1
"25",-0.269,-0.42300001,73.9,623,51734,-0.101,-0.0452,-0.0323,4903185,-0.193,1
"26",-0.289,-0.43700001,85.6,754,51734,-0.114,-0.0513,-0.0358,4903185,-0.2,1
"27",-0.317,-0.461,102,930,51734,-0.127,-0.0577,-0.0393,4903185,-0.207,1
"28",-0.339,-0.47799999,109,1042,51734,-0.141,-0.0646,-0.0429,4903185,-0.217,1
"29",-0.359,-0.49000001,105,1120,51734,-0.156,-0.0718,-0.0465,4903185,-0.225,1
"30",-0.36,-0.51700002,122,1269,51734,-0.171,-0.0792,-0.0502,4903185,-0.229,1
"31",-0.338,-0.51499999,124,1351,51734,-0.187,-0.0869,-0.0538,4903185,-0.23,1
"32",-0.305,-0.509,133,1552,51734,-0.202,-0.0946,-0.0574,4903185,-0.229,1
"33",-0.302,-0.52600002,139,1730,51734,-0.217,-0.102,-0.0609,4903185,-0.227,1
"34",-0.317,-0.53200001,141,1916,51734,-0.232,-0.11,-0.0643,4903185,-0.227,1
"35",-0.312,-0.52999997,153,2112,51734,-0.246,-0.117,-0.0675,4903185,-0.222,1
"36",-0.298,-0.52600002,164,2267,51734,-0.259,-0.125,-0.0705,4903185,-0.213,1
"37",-0.296,-0.51599997,167,2440,51734,-0.27,-0.131,-0.0733,4903185,-0.215,1
"38",-0.317,-0.51499999,175,2578,51734,-0.281,-0.138,-0.0758,4903185,-0.214,1
"39",-0.328,-0.51200002,172,2756,51734,-0.291,-0.143,-0.0782,4903185,-0.215,1
"40",-0.325,-0.5,165,2885,51734,-0.3,-0.149,-0.0803,4903185,-0.217,1
"41",-0.301,-0.48500001,165,3068,51734,-0.308,-0.153,-0.082,4903185,-0.22,1
"42",-0.28,-0.46900001,157,3213,51734,-0.314,-0.157,-0.0833,4903185,-0.217,1
"43",-0.313,-0.472,153,3341,51734,-0.32,-0.159,-0.0842,4903185,-0.223,1
"44",-0.34,-0.47400001,141,3428,51734,-0.324,-0.161,-0.0847,4903185,-0.225,1
"45",-0.258,-0.46599999,140,3555,51734,-0.327,-0.162,-0.0847,4903185,-0.227,1
"46",-0.225,-0.45500001,138,3721,51734,-0.33,-0.163,-0.0844,4903185,-0.227,1
"47",-0.213,-0.45300001,141,3875,51734,-0.331,-0.163,-0.0836,4903185,-0.226,1
"48",-0.217,-0.44400001,140,4045,51734,-0.332,-0.163,-0.0825,4903185,-0.222,1
"49",-0.234,-0.45199999,141,4199,51734,-0.332,-0.162,-0.0812,4903185,-0.219,1
"50",-0.215,-0.447,144,4346,51734,-0.332,-0.161,-0.0797,4903185,-0.211,1
"51",-0.167,-0.43399999,162,4564,51734,-0.331,-0.16,-0.078,4903185,-0.207,1
"52",-0.181,-0.405,162,4691,51734,-0.33,-0.159,-0.0762,4903185,-0.204,1
"53",-0.192,-0.40900001,171,4915,51734,-0.329,-0.158,-0.0744,4903185,-0.203,1
"54",-0.236,-0.41100001,179,5125,51734,-0.327,-0.157,-0.0725,4903185,-0.203,1
"55",-0.229,-0.403,198,5431,51734,-0.326,-0.156,-0.0707,4903185,-0.201,1
"56",-0.226,-0.39300001,223,5762,51734,-0.324,-0.155,-0.0689,4903185,-0.199,1
"57",-0.202,-0.38600001,234,5986,51734,-0.323,-0.154,-0.0671,4903185,-0.193,1
"58",-0.201,-0.38800001,229,6164,51734,-0.322,-0.153,-0.0654,4903185,-0.193,1
"59",-0.237,-0.40599999,243,6389,51734,-0.32,-0.152,-0.0638,4903185,-0.185,1
"60",-0.238,-0.39199999,244,6621,51734,-0.319,-0.151,-0.0622,4903185,-0.186,1
"61",-0.189,-0.38,264,6973,51734,-0.318,-0.15,-0.0606,4903185,-0.183,1
"62",-0.182,-0.37099999,287,7439,51734,-0.317,-0.149,-0.059,4903185,-0.179,1
"63",-0.174,-0.36700001,289,7785,51734,-0.316,-0.148,-0.0574,4903185,-0.172,1
"64",-0.166,-0.36899999,300,8089,51734,-0.315,-0.147,-0.0557,4903185,-0.166,1
"65",-0.162,-0.359,314,8362,51734,-0.313,-0.146,-0.0539,4903185,-0.161,1
"66",-0.155,-0.34799999,330,8696,51734,-0.312,-0.145,-0.0519,4903185,-0.166,1
"67",-0.148,-0.34599999,347,9052,51734,-0.311,-0.143,-0.0499,4903185,-0.16,1
"68",-0.143,-0.33700001,342,9369,51734,-0.309,-0.142,-0.0476,4903185,-0.159,1
"69",-0.137,-0.338,330,9750,51734,-0.307,-0.14,-0.0452,4903185,-0.16,1
"70",-0.129,-0.331,331,10099,51734,-0.304,-0.138,-0.0426,4903185,-0.16,1
"71",-0.143,-0.33500001,327,10379,51734,-0.301,-0.136,-0.04,4903185,-0.166,1
"72",-0.165,-0.34099999,317,10581,51734,-0.298,-0.133,-0.0374,4903185,-0.166,1
"73",-0.166,-0.34299999,298,10781,51734,-0.295,-0.131,-0.0348,4903185,-0.163,1
"74",-0.16,-0.33899999,288,11071,51734,-0.291,-0.128,-0.0322,4903185,-0.163,1
"75",-0.16,-0.33500001,297,11449,51734,-0.287,-0.126,-0.0297,4903185,-0.163,1
"76",-0.164,-0.32499999,327,12037,51734,-0.282,-0.123,-0.0272,4903185,-0.157,1
"77",-0.166,-0.315,350,12551,51734,-0.277,-0.119,-0.0248,4903185,-0.155,1
"78",-0.155,-0.30500001,339,12754,51734,-0.272,-0.116,-0.0224,4903185,-0.161,1
"79",-0.139,-0.28799999,333,12912,51734,-0.267,-0.113,-0.0201,4903185,-0.161,1
"80",-0.126,-0.27700001,346,13200,51734,-0.261,-0.109,-0.0179,4903185,-0.161,1
"81",-0.113,-0.255,387,13779,51734,-0.255,-0.105,-0.0157,4903185,-0.156,1
"82",-0.0997,-0.221,389,14172,51734,-0.249,-0.102,-0.0136,4903185,-0.15,1
"83",-0.0984,-0.199,390,14768,51734,-0.244,-0.0984,-0.0115,4903185,-0.147,1
"84",-0.102,-0.19599999,378,15196,51734,-0.238,-0.095,-0.0096,4903185,-0.145,1
"85",-0.0981,-0.19599999,403,15573,51734,-0.233,-0.0917,-0.00772,4903185,-0.122,1
"86",-0.0883,-0.204,421,15857,51734,-0.228,-0.0886,-0.00589,4903185,-0.128,1
"87",-0.0932,-0.18799999,420,16141,51734,-0.223,-0.0856,-0.00409,4903185,-0.118,1
"88",-0.0734,-0.20200001,430,16786,51734,-0.218,-0.0827,-0.00231,4903185,-0.116,1
"89",-0.0926,-0.21799999,472,17476,51734,-0.213,-0.08,-0.000538,4903185,-0.117,1
"90",-0.133,-0.212,469,18050,51734,-0.209,-0.0774,0.00124,4903185,-0.117,1
"91",-0.133,-0.207,474,18515,51734,-0.205,-0.0749,0.003,4903185,-0.112,1
"92",-0.137,-0.20299999,444,18684,51734,-0.201,-0.0726,0.00475,4903185,-0.112,1
"93",-0.125,-0.17299999,424,18825,51734,-0.197,-0.0704,0.00643,4903185,-0.106,1
"94",-0.131,-0.182,440,19223,51734,-0.194,-0.0684,0.008,4903185,-0.104,1
"95",-0.171,-0.18700001,444,19896,51734,-0.19,-0.0665,0.00943,4903185,-0.101,1
"96",-0.152,-0.178,412,20359,51734,-0.187,-0.0648,0.0106,4903185,-0.0952,1
"97",-0.104,-0.204,382,20723,51734,-0.184,-0.0633,0.0116,4903185,-0.0925,1
"98",-0.098,-0.21699999,355,20997,51734,-0.181,-0.0618,0.0123,4903185,-0.0875,1
"99",-0.0861,-0.219,366,21246,51734,-0.178,-0.0605,0.0127,4903185,-0.0846,1
"100",-0.0742,-0.228,377,21463,51734,-0.176,-0.0592,0.0129,4903185,-0.0812,1
"101",-0.0824,-0.23100001,359,21738,51734,-0.173,-0.0581,0.0128,4903185,-0.0826,1
"102",-0.086,-0.234,599,24091,51734,-0.171,-0.057,0.0125,4903185,-0.0858,1
"103",-0.0995,-0.228,579,24411,51734,-0.168,-0.056,0.012,4903185,-0.0843,1
"104",-0.102,-0.227,573,24733,51734,-0.166,-0.0551,0.0113,4903185,-0.0816,1
"105",-0.0942,-0.22,576,25026,51734,-0.164,-0.0543,0.0104,4903185,-0.0791,1
"106",-0.101,-0.221,580,25307,51734,-0.163,-0.0537,0.00937,4903185,-0.0761,1
"107",-0.103,-0.219,581,25530,51734,-0.161,-0.0531,0.00824,4903185,-0.0745,1
"108",-0.0888,-0.207,584,25829,51734,-0.16,-0.0526,0.00705,4903185,-0.0703,1
"109",-0.0807,-0.20200001,297,26167,51734,-0.159,-0.0522,0.00584,4903185,-0.0639,1
"110",-0.0616,-0.213,314,26611,51734,-0.158,-0.0519,0.00468,4903185,-0.0624,1
"111",-0.0581,-0.19499999,311,26913,51734,-0.157,-0.0516,0.00365,4903185,-0.0611,1
"112",-0.0589,-0.19499999,327,27314,51734,-0.156,-0.0513,0.0028,4903185,-0.0661,1
"113",-0.0561,-0.189,327,27598,51734,-0.155,-0.051,0.00212,4903185,-0.0602,1
"114",-0.066,-0.199,331,27849,51734,-0.154,-0.0507,0.00159,4903185,-0.0636,1
"115",-0.0737,-0.204,337,28187,51734,-0.154,-0.0505,0.00118,4903185,-0.065,1
"116",-0.0866,-0.206,355,28652,51734,-0.153,-0.0502,0.000836,4903185,-0.0666,1
"117",-0.108,-0.20900001,370,29204,51734,-0.152,-0.0499,0.000519,4903185,-0.0666,1
"118",-0.107,-0.215,401,29718,51734,-0.151,-0.0496,0.000182,4903185,-0.0708,1
"119",-0.103,-0.221,417,30235,51734,-0.15,-0.0492,-0.000217,4903185,-0.0633,1
"120",-0.104,-0.229,445,30716,51734,-0.149,-0.0489,-0.000696,4903185,-0.0691,1
"121",-0.0989,-0.227,465,31103,51734,-0.148,-0.0485,-0.00124,4903185,-0.0691,1
"122",-0.0867,-0.215,505,31723,51734,-0.147,-0.0481,-0.00183,4903185,-0.0677,1
"123",-0.0812,-0.21699999,522,32307,51734,-0.146,-0.0477,-0.00243,4903185,-0.0661,1
"124",-0.0689,-0.20900001,525,32876,51734,-0.144,-0.0472,-0.00301,4903185,-0.0646,1
"125",-0.097,-0.26300001,550,33565,51734,-0.143,-0.0468,-0.00353,4903185,-0.0674,1
"126",-0.0717,-0.163,573,34243,51734,-0.142,-0.0464,-0.00396,4903185,-0.0672,1
"127",-0.054,-0.18700001,576,34750,51734,-0.141,-0.0459,-0.00429,4903185,-0.0646,1
"128",-0.0548,-0.206,602,35318,51734,-0.14,-0.0455,-0.00452,4903185,-0.063,1
"129",-0.0371,-0.221,587,35834,51734,-0.139,-0.0452,-0.00468,4903185,-0.0643,1
"130",-0.0466,-0.229,603,36526,51734,-0.138,-0.0448,-0.00478,4903185,-0.0659,1
"131",-0.0645,-0.236,640,37358,51734,-0.137,-0.0446,-0.00484,4903185,-0.0717,1
"132",-0.0818,-0.243,693,38414,51734,-0.136,-0.0444,-0.0049,4903185,-0.0689,1
"133",-0.0945,-0.24699999,693,39095,51734,-0.135,-0.0443,-0.00496,4903185,-0.0714,1
"134",-0.0887,-0.249,736,39901,51734,-0.134,-0.0443,-0.00502,4903185,-0.0714,1
"135",-0.0982,-0.25600001,755,40603,51734,-0.134,-0.0444,-0.00509,4903185,-0.0697,1
